{'participant':	u'12345'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1428'		'autopilot':	False		'exp_id':	u'SNARC'}
12345	SNARC_only	DC	6	num_separator	0.9720849991											
12345	SNARC_only	DC	4	num_separator	0.5442399979											
12345	SNARC_only	DC	5	lctrl	0.4190139771											
12345	SNARC_only	DC	6	num_separator	0.4664421082											
12345	SNARC_only	DC	5	lctrl	0.5311839581											
12345	SNARC_only	DC	5	lctrl	0.4995179176											
12345	SNARC_only	DC	3	lctrl	0.8126440048											
12345	SNARC_only	DC	2	num_separator	0.4987971783											
12345	SNARC_only	DC	6	num_separator	0.6959040165											
12345	SNARC_only	DC	8	num_separator	0.4223601818											
12345	SNARC_only	DC	8	num_separator	0.3407151699											
12345	SNARC_only	DC	9	lctrl	0.5748779774											
12345	SNARC_only	DC	9	lctrl	0.3533499241											
12345	SNARC_only	DC	7	lctrl	0.6530251503											
12345	SNARC_only	DC	8	num_separator	0.465059042											
12345	SNARC_only	DC	4	num_separator	1.3549799919											
12345	SNARC_only	DC	6	num_separator	0.4612019062											
12345	SNARC_only	DC	4	num_separator	0.3455920219											
12345	SNARC_only	DC	9	lctrl	0.3863551617											
12345	SNARC_only	DC	9	lctrl	0.3144540787											
12345	SNARC_only	DC	5	num_separator	0.5838010311											
12345	SNARC_only	DC	4	num_separator	0.4788079262											
12345	SNARC_only	DC	2	num_separator	1.0090250969											
12345	SNARC_only	DC	2	num_separator	0.4681968689											
12345	SNARC_only	DC	9	lctrl	0.5459320545											
12345	SNARC_only	DC	1	lctrl	1.2759950161											
12345	SNARC_only	DC	9	lctrl	0.6193680763											
12345	SNARC_only	DC	3	lctrl	0.737500906											
12345	SNARC_only	DC	8	num_separator	0.6606469154											
12345	SNARC_only	DC	5	lctrl	0.6544761658											
12345	SNARC_only	DC	8	num_separator	0.5826060772											
12345	SNARC_only	DC	6	num_separator	0.581430912											
12345	SNARC_only	DC	6	num_separator	0.4124138355											
12345	SNARC_only	DC	5	lctrl	0.5371999741											
12345	SNARC_only	DC	8	num_separator	0.5443880558											
12345	SNARC_only	DC	2	num_separator	0.7718100548											
12345	SNARC_only	DC	3	lctrl	0.7756178379											
12345	SNARC_only	DC	2	num_separator	0.4971129894											
12345	SNARC_only	DC	1	lctrl	0.732806921											
12345	SNARC_only	DC	2	num_separator	0.6173591614											
12345	SNARC_only	DC	6	num_separator	1.0448651314											
12345	SNARC_only	DC	5	lctrl	0.4301099777											
12345	SNARC_only	DC	4	num_separator	0.4658010006											
12345	SNARC_only	DC	6	num_separator	1.342525959											
12345	SNARC_only	DC	4	num_separator	0.4991779327											
12345	SNARC_only	DC	3	lctrl	0.618917942											
12345	SNARC_only	DC	1	lctrl	1.0078430176											
12345	SNARC_only	DC	2	num_separator	0.539689064											
