{'participant':	u'jonasn'		'response_buttons':	u'CD'		'range_in_instr':	True		'dateStr':	u'05_09_1331'		'autopilot':	False		'exp_id':	u'SNARC'}
jonasn	SNARC_only	CD	1	num_separator	0.6211841106											
jonasn	SNARC_only	CD	1	num_separator	0.4298651218											
jonasn	SNARC_only	CD	5	num_separator	0.6841888428											
jonasn	SNARC_only	CD	8	lctrl	0.4224450588											
jonasn	SNARC_only	CD	5	num_separator	0.4310059547											
jonasn	SNARC_only	CD	2	lctrl	0.389343977											
jonasn	SNARC_only	CD	6	lctrl	0.6148478985											
jonasn	SNARC_only	CD	8	lctrl	0.5007610321											
jonasn	SNARC_only	CD	7	num_separator	0.6976680756											
jonasn	SNARC_only	CD	2	lctrl	0.6946310997											
jonasn	SNARC_only	CD	2	lctrl	0.3822948933											
jonasn	SNARC_only	CD	7	num_separator	0.4649031162											
jonasn	SNARC_only	CD	9	num_separator	0.4264700413											
jonasn	SNARC_only	CD	7	num_separator	0.4235131741											
jonasn	SNARC_only	CD	5	lctrl	0.3429899216											
jonasn	SNARC_only	CD	3	num_separator	0.6880960464											
jonasn	SNARC_only	CD	1	num_separator	0.4263420105											
jonasn	SNARC_only	CD	7	num_separator	0.8485441208											
jonasn	SNARC_only	CD	7	num_separator	0.3445129395											
jonasn	SNARC_only	CD	3	num_separator	1.1197898388											
jonasn	SNARC_only	CD	8	lctrl	0.443447113											
jonasn	SNARC_only	CD	3	num_separator	0.4672849178											
jonasn	SNARC_only	CD	9	num_separator	0.5447819233											
jonasn	SNARC_only	CD	1	num_separator	0.5787432194											
jonasn	SNARC_only	CD	4	lctrl	0.6546189785											
jonasn	SNARC_only	CD	8	lctrl	1.085285902											
jonasn	SNARC_only	CD	9	num_separator	0.7194550037											
jonasn	SNARC_only	CD	8	lctrl	0.4995210171											
jonasn	SNARC_only	CD	1	num_separator	0.4644329548											
jonasn	SNARC_only	CD	6	lctrl	0.5034220219											
jonasn	SNARC_only	CD	3	num_separator	0.4553799629											
jonasn	SNARC_only	CD	8	lctrl	2.0911409855											
jonasn	SNARC_only	CD	6	lctrl	0.5451309681											
jonasn	SNARC_only	CD	5	num_separator	0.9656038284											
jonasn	SNARC_only	CD	3	num_separator	0.4600949287											
jonasn	SNARC_only	CD	4	lctrl	0.524461031											
jonasn	SNARC_only	CD	4	lctrl	0.3885490894											
jonasn	SNARC_only	CD	8	lctrl	0.4207429886											
jonasn	SNARC_only	CD	5	num_separator	0.4294419289											
jonasn	SNARC_only	CD	6	lctrl	0.3875989914											
jonasn	SNARC_only	CD	1	num_separator	0.4197928905											
jonasn	SNARC_only	CD	7	num_separator	0.5831270218											
jonasn	SNARC_only	CD	4	lctrl	0.4270830154											
jonasn	SNARC_only	CD	6	lctrl	0.3852798939											
jonasn	SNARC_only	CD	8	lctrl	0.3131921291											
jonasn	SNARC_only	CD	2	lctrl	0.4276909828											
jonasn	SNARC_only	CD	4	lctrl	0.4631681442											
jonasn	SNARC_only	CD	1	num_separator	0.5407719612											
jonasn	SNARC_only	CD	4	lctrl	0.3814170361											
jonasn	SNARC_only	CD	3	num_separator	0.4252297878											
jonasn	SNARC_only	CD	4	lctrl	0.4220910072											
jonasn	SNARC_only	CD	9	num_separator	0.4306850433											
jonasn	SNARC_only	CD	1	num_separator	0.4918911457											
jonasn	SNARC_only	CD	1	num_separator	0.3911969662											
jonasn	SNARC_only	CD	5	lctrl	0.3847870827											
jonasn	SNARC_only	CD	9	num_separator	0.5447568893											
jonasn	SNARC_only	CD	7	num_separator	0.4240541458											
jonasn	SNARC_only	CD	8	lctrl	0.4594697952											
jonasn	SNARC_only	CD	1	num_separator	0.382381916											
jonasn	SNARC_only	CD	3	num_separator	0.5809409618											
jonasn	SNARC_only	CD	5	num_separator	0.4636700153											
jonasn	SNARC_only	CD	2	lctrl	0.9664931297											
jonasn	SNARC_only	CD	1	num_separator	0.4608299732											
jonasn	SNARC_only	CD	9	num_separator	0.7721221447											
jonasn	SNARC_only	CD	3	num_separator	0.8531370163											
jonasn	SNARC_only	CD	5	num_separator	0.7362048626											
jonasn	SNARC_only	CD	8	lctrl	0.4654631615											
jonasn	SNARC_only	CD	3	num_separator	0.4271228313											
jonasn	SNARC_only	CD	1	num_separator	0.5013008118											
jonasn	SNARC_only	CD	7	num_separator	0.5049350262											
jonasn	SNARC_only	CD	2	lctrl	0.4968121052											
jonasn	SNARC_only	CD	9	num_separator	0.6163780689											
jonasn	SNARC_only	CD	6	lctrl	0.5023269653											
jonasn	SNARC_only	CD	4	lctrl	0.5059621334											
jonasn	SNARC_only	CD	2	lctrl	0.4978179932											
jonasn	SNARC_only	CD	9	num_separator	0.5268750191											
jonasn	SNARC_only	CD	5	num_separator	0.5070309639											
jonasn	SNARC_only	CD	2	lctrl	0.5762021542											
jonasn	SNARC_only	CD	8	lctrl	0.4587779045											
jonasn	SNARC_only	CD	2	lctrl	0.4590001106											
jonasn	SNARC_only	CD	6	lctrl	0.4978849888											
jonasn	SNARC_only	CD	6	lctrl	0.3854789734											
jonasn	SNARC_only	CD	2	lctrl	0.4293341637											
jonasn	SNARC_only	CD	3	num_separator	0.464963913											
jonasn	SNARC_only	CD	9	num_separator	0.5679969788											
jonasn	SNARC_only	CD	5	num_separator	0.6556890011											
jonasn	SNARC_only	CD	8	lctrl	0.429005146											
jonasn	SNARC_only	CD	4	lctrl	0.387223959											
jonasn	SNARC_only	CD	7	num_separator	0.4311571121											
jonasn	SNARC_only	CD	5	num_separator	0.5053560734											
jonasn	SNARC_only	CD	5	num_separator	0.3811728954											
jonasn	SNARC_only	CD	6	lctrl	0.3478531837											
jonasn	SNARC_only	CD	6	lctrl	0.427038908											
jonasn	SNARC_only	CD	8	lctrl	0.6944930553											
jonasn	SNARC_only	CD	3	num_separator	0.420743227											
jonasn	SNARC_only	CD	5	num_separator	0.4549431801											
jonasn	SNARC_only	CD	7	num_separator	0.3896579742											
jonasn	SNARC_only	CD	2	lctrl	0.499158144											
jonasn	SNARC_only	CD	4	lctrl	0.4207980633											
jonasn	SNARC_only	CD	8	lctrl	0.4680221081											
jonasn	SNARC_only	CD	6	lctrl	0.3908929825											
jonasn	SNARC_only	CD	5	num_separator	0.5004689693											
jonasn	SNARC_only	CD	2	lctrl	0.5426559448											
jonasn	SNARC_only	CD	7	num_separator	0.7698369026											
jonasn	SNARC_only	CD	2	num_separator	0.4897148609											
jonasn	SNARC_only	CD	1	num_separator	0.4278278351											
jonasn	SNARC_only	CD	2	num_separator	0.4502449036											
jonasn	SNARC_only	CD	6	lctrl	0.5265078545											
jonasn	SNARC_only	CD	9	num_separator	0.6226592064											
jonasn	SNARC_only	CD	9	num_separator	0.5741491318											
jonasn	SNARC_only	CD	4	lctrl	0.5845739841											
jonasn	SNARC_only	CD	9	num_separator	0.5830628872											
jonasn	SNARC_only	CD	7	num_separator	0.5817320347											
jonasn	SNARC_only	CD	4	lctrl	0.6445040703											
jonasn	SNARC_only	CD	8	lctrl	0.5069110394											
jonasn	SNARC_only	CD	4	lctrl	0.8467030525											
jonasn	SNARC_only	CD	5	num_separator	1.0386350155											
jonasn	SNARC_only	CD	5	num_separator	1.1970820427											
jonasn	SNARC_only	CD	6	lctrl	0.506499052											
jonasn	SNARC_only	CD	6	lctrl	0.3051071167											
jonasn	SNARC_only	CD	7	num_separator	0.4450919628											
jonasn	SNARC_only	CD	4	lctrl	0.584856987											
jonasn	SNARC_only	CD	2	num_separator	0.5060391426											
jonasn	SNARC_only	CD	3	num_separator	0.407501936											
jonasn	SNARC_only	CD	8	lctrl	0.8532061577											
jonasn	SNARC_only	CD	2	lctrl	1.1997668743											
jonasn	SNARC_only	CD	2	lctrl	0.458837986											
jonasn	SNARC_only	CD	4	lctrl	0.459031105											
jonasn	SNARC_only	CD	4	lctrl	0.4206888676											
jonasn	SNARC_only	CD	3	num_separator	1.1251659393											
jonasn	SNARC_only	CD	7	num_separator	0.8918919563											
jonasn	SNARC_only	CD	5	num_separator	0.610255003											
jonasn	SNARC_only	CD	9	num_separator	0.5852968693											
jonasn	SNARC_only	CD	1	num_separator	0.854585886											
jonasn	SNARC_only	CD	4	lctrl	0.7371969223											
jonasn	SNARC_only	CD	7	num_separator	0.5054869652											
jonasn	SNARC_only	CD	4	lctrl	0.4974300861											
jonasn	SNARC_only	CD	9	num_separator	0.5783779621											
jonasn	SNARC_only	CD	7	num_separator	1.7755031586											
jonasn	SNARC_only	CD	9	num_separator	0.3925018311											
jonasn	SNARC_only	CD	9	num_separator	0.3473389149											
jonasn	SNARC_only	CD	1	num_separator	0.4266438484											
jonasn	SNARC_only	CD	1	num_separator	0.3332982063											
jonasn	SNARC_only	CD	5	num_separator	0.5013720989											
jonasn	SNARC_only	CD	3	num_separator	0.5437428951											
jonasn	SNARC_only	CD	4	lctrl	0.3712120056											
jonasn	SNARC_only	CD	7	num_separator	0.4657011032											
jonasn	SNARC_only	CD	3	num_separator	0.427230835											
jonasn	SNARC_only	CD	2	lctrl	0.6043889523											
jonasn	SNARC_only	CD	3	num_separator	0.4247100353											
jonasn	SNARC_only	CD	1	num_separator	0.4215490818											
jonasn	SNARC_only	CD	1	num_separator	0.3915629387											
jonasn	SNARC_only	CD	8	lctrl	0.3850748539											
jonasn	SNARC_only	CD	1	num_separator	0.5063529015											
jonasn	SNARC_only	CD	4	num_separator	0.6142759323											
jonasn	SNARC_only	CD	1	num_separator	0.5003938675											
jonasn	SNARC_only	CD	6	lctrl	0.3492529392											
jonasn	SNARC_only	CD	8	lctrl	0.4285268784											
jonasn	SNARC_only	CD	3	num_separator	0.3867487907											
jonasn	SNARC_only	CD	1	num_separator	0.4693021774											
jonasn	SNARC_only	CD	9	lctrl	0.4309911728											
jonasn	SNARC_only	CD	5	num_separator	0.4665029049											
jonasn	SNARC_only	CD	2	lctrl	1.2788281441											
jonasn	SNARC_only	CD	5	num_separator	0.5059409142											
jonasn	SNARC_only	CD	9	lctrl	0.4592249393											
jonasn	SNARC_only	CD	9	num_separator	0.5367841721											
jonasn	SNARC_only	CD	7	num_separator	0.4664649963											
jonasn	SNARC_only	CD	7	num_separator	0.4536252022											
jonasn	SNARC_only	CD	5	num_separator	0.5043048859											
jonasn	SNARC_only	CD	8	lctrl	0.469342947											
jonasn	SNARC_only	CD	8	lctrl	0.3535490036											
jonasn	SNARC_only	CD	4	lctrl	0.3823258877											
jonasn	SNARC_only	CD	3	num_separator	0.4263219833											
jonasn	SNARC_only	CD	5	num_separator	0.4233109951											
jonasn	SNARC_only	CD	5	num_separator	0.3814592361											
jonasn	SNARC_only	CD	3	lctrl	0.3867299557											
jonasn	SNARC_only	CD	2	lctrl	0.5466930866											
jonasn	SNARC_only	CD	8	lctrl	0.4213449955											
jonasn	SNARC_only	CD	3	num_separator	0.4254128933											
jonasn	SNARC_only	CD	4	lctrl	0.3835561275											
jonasn	SNARC_only	CD	6	lctrl	0.6594147682											
jonasn	SNARC_only	CD	1	num_separator	0.4164078236											
jonasn	SNARC_only	CD	8	lctrl	0.4251539707											
jonasn	SNARC_only	CD	4	lctrl	0.3059661388											
jonasn	SNARC_only	CD	1	num_separator	0.3432080746											
jonasn	SNARC_only	CD	8	lctrl	0.461176157											
jonasn	SNARC_only	CD	1	num_separator	0.5772960186											
jonasn	SNARC_only	CD	1	num_separator	0.421257019											
jonasn	SNARC_only	CD	8	lctrl	0.3912639618											
jonasn	SNARC_only	CD	7	num_separator	0.4621489048											
jonasn	SNARC_only	CD	1	num_separator	0.4106531143											
jonasn	SNARC_only	CD	8	lctrl	0.4697890282											
jonasn	SNARC_only	CD	6	lctrl	0.6515250206											
jonasn	SNARC_only	CD	9	num_separator	0.6955528259											
jonasn	SNARC_only	CD	3	num_separator	0.924492836											
jonasn	SNARC_only	CD	2	lctrl	0.7365109921											
jonasn	SNARC_only	CD	6	lctrl	0.5048968792											
jonasn	SNARC_only	CD	9	num_separator	0.7018370628											
jonasn	SNARC_only	CD	5	num_separator	0.5441608429											
jonasn	SNARC_only	CD	1	num_separator	0.6167128086											
jonasn	SNARC_only	CD	8	lctrl	0.5028250217											
jonasn	SNARC_only	CD	9	num_separator	0.6609869003											
jonasn	SNARC_only	CD	5	num_separator	0.5255000591											
jonasn	SNARC_only	CD	5	num_separator	1.4723160267											
jonasn	SNARC_only	CD	4	lctrl	0.7314889431											
jonasn	SNARC_only	CD	1	num_separator	0.5771269798											
jonasn	SNARC_only	CD	7	num_separator	0.498415947											
jonasn	SNARC_only	CD	7	num_separator	0.4247288704											
jonasn	SNARC_only	CD	9	num_separator	0.730946064											
jonasn	SNARC_only	CD	9	num_separator	0.3060259819											
jonasn	SNARC_only	CD	4	lctrl	0.4205060005											
jonasn	SNARC_only	CD	1	num_separator	0.3518269062											
jonasn	SNARC_only	CD	2	lctrl	0.4566910267											
jonasn	SNARC_only	CD	9	num_separator	0.7006690502											
jonasn	SNARC_only	CD	6	lctrl	0.4269378185											
jonasn	SNARC_only	CD	6	lctrl	0.4624857903											
jonasn	SNARC_only	CD	4	lctrl	0.540058136											
jonasn	SNARC_only	CD	7	num_separator	0.6630539894											
jonasn	SNARC_only	CD	9	num_separator	0.8500471115											
jonasn	SNARC_only	CD	2	lctrl	0.4960489273											
jonasn	SNARC_only	CD	6	lctrl	0.4610409737											
jonasn	SNARC_only	CD	3	num_separator	0.4226491451											
jonasn	SNARC_only	CD	4	lctrl	0.6127810478											
jonasn	SNARC_only	CD	9	num_separator	0.6534450054											
jonasn	SNARC_only	CD	9	num_separator	0.465471983											
jonasn	SNARC_only	CD	8	lctrl	0.4657111168											
jonasn	SNARC_only	CD	5	num_separator	0.3886270523											
jonasn	SNARC_only	CD	4	lctrl	0.3822529316											
jonasn	SNARC_only	CD	2	lctrl	0.5421049595											
jonasn	SNARC_only	CD	8	lctrl	0.4167308807											
jonasn	SNARC_only	CD	2	num_separator	0.5799920559											
jonasn	SNARC_only	CD	7	num_separator	0.4626629353											
jonasn	SNARC_only	CD	7	num_separator	0.4243090153											
jonasn	SNARC_only	CD	5	num_separator	0.524135828											
jonasn	SNARC_only	CD	3	num_separator	0.5042529106											
jonasn	SNARC_only	CD	2	lctrl	0.4305448532											
jonasn	SNARC_only	CD	3	num_separator	0.5048859119											
jonasn	SNARC_only	CD	7	num_separator	0.6244740486											
jonasn	SNARC_only	CD	4	lctrl	0.5373189449											
jonasn	SNARC_only	CD	6	lctrl	1.0083298683											
jonasn	SNARC_only	CD	6	lctrl	0.7380299568											
jonasn	SNARC_only	CD	5	num_separator	0.7383370399											
jonasn	SNARC_only	CD	6	lctrl	0.5839869976											
jonasn	SNARC_only	CD	4	lctrl	0.6553661823											
jonasn	SNARC_only	CD	9	num_separator	0.8926410675											
jonasn	SNARC_only	CD	3	num_separator	0.5468320847											
jonasn	SNARC_only	CD	9	num_separator	0.5033140183											
jonasn	SNARC_only	CD	3	num_separator	0.6229510307											
jonasn	SNARC_only	CD	1	num_separator	0.5745220184											
jonasn	SNARC_only	CD	8	lctrl	0.6622390747											
jonasn	SNARC_only	CD	7	num_separator	0.617110014											
jonasn	SNARC_only	CD	6	lctrl	0.5417780876											
jonasn	SNARC_only	CD	4	lctrl	0.8464119434											
jonasn	SNARC_only	CD	7	num_separator	0.5355939865											
jonasn	SNARC_only	CD	6	lctrl	0.6587040424											
jonasn	SNARC_only	CD	1	num_separator	0.4588849545											
jonasn	SNARC_only	CD	6	lctrl	0.6137528419											
jonasn	SNARC_only	CD	6	lctrl	0.5724260807											
jonasn	SNARC_only	CD	9	num_separator	0.7374341488											
jonasn	SNARC_only	CD	9	num_separator	0.4285030365											
jonasn	SNARC_only	CD	2	lctrl	0.7734708786											
jonasn	SNARC_only	CD	2	lctrl	0.3130328655											
jonasn	SNARC_only	CD	1	num_separator	0.5822210312											
jonasn	SNARC_only	CD	3	num_separator	0.3489909172											
jonasn	SNARC_only	CD	5	num_separator	0.5827820301											
jonasn	SNARC_only	CD	8	lctrl	0.3880679607											
jonasn	SNARC_only	CD	5	num_separator	0.4202620983											
jonasn	SNARC_only	CD	3	num_separator	0.5063021183											
jonasn	SNARC_only	CD	5	lctrl	0.4208841324											
jonasn	SNARC_only	CD	2	lctrl	0.352216959											
jonasn	SNARC_only	CD	8	lctrl	0.4538559914											
jonasn	SNARC_only	CD	7	num_separator	0.5044701099											
jonasn	SNARC_only	CD	8	lctrl	0.856208086											
jonasn	SNARC_only	CD	8	lctrl	0.4681458473											
jonasn	SNARC_only	CD	6	lctrl	0.7003729343											
jonasn	SNARC_only	CD	5	num_separator	0.4266350269											
jonasn	SNARC_only	CD	6	lctrl	0.4235658646											
jonasn	SNARC_only	CD	7	num_separator	0.7298219204											
jonasn	SNARC_only	CD	1	num_separator	0.8848240376											
jonasn	SNARC_only	CD	6	lctrl	1.5055148602											
jonasn	SNARC_only	CD	2	lctrl	0.8453538418											
jonasn	SNARC_only	CD	1	num_separator	0.4692180157											
jonasn	SNARC_only	CD	8	lctrl	0.430824995											
jonasn	SNARC_only	CD	2	lctrl	0.4663808346											
jonasn	SNARC_only	CD	5	num_separator	0.466616869											
jonasn	SNARC_only	CD	4	lctrl	0.3895571232											
jonasn	SNARC_only	CD	4	lctrl	0.3830420971											
jonasn	SNARC_only	CD	6	lctrl	0.9250860214											
jonasn	SNARC_only	CD	9	num_separator	1.1965398789											
jonasn	SNARC_only	CD	5	num_separator	0.6993460655											
jonasn	SNARC_only	CD	1	num_separator	0.5417702198											
jonasn	SNARC_only	CD	6	lctrl	0.4209299088											
jonasn	SNARC_only	CD	3	num_separator	0.4295740128											
jonasn	SNARC_only	CD	6	lctrl	0.3878350258											
jonasn	SNARC_only	CD	2	num_separator	0.5360438824											
jonasn	SNARC_only	CD	3	num_separator	0.3883929253											
jonasn	SNARC_only	CD	1	num_separator	0.4979510307											
jonasn	SNARC_only	CD	6	lctrl	1.1202719212											
jonasn	SNARC_only	CD	6	lctrl	0.5002629757											
jonasn	SNARC_only	CD	6	lctrl	0.4653470516											
jonasn	SNARC_only	CD	4	lctrl	0.388105154											
jonasn	SNARC_only	CD	8	lctrl	0.6136448383											
jonasn	SNARC_only	CD	8	lctrl	0.4995880127											
jonasn	SNARC_only	CD	7	num_separator	0.5031609535											
jonasn	SNARC_only	CD	7	num_separator	0.4295229912											
jonasn	SNARC_only	CD	7	num_separator	0.3876669407											
jonasn	SNARC_only	CD	3	lctrl	0.4972531796											
jonasn	SNARC_only	CD	6	lctrl	0.3461418152											
jonasn	SNARC_only	CD	3	num_separator	0.6057050228											
jonasn	SNARC_only	CD	3	num_separator	0.387378931											
jonasn	SNARC_only	CD	2	lctrl	0.8449060917											
jonasn	SNARC_only	CD	3	num_separator	0.739356041											
jonasn	SNARC_only	CD	1	num_separator	0.5849671364											
