{'task':	'line'		'participant':	''		'dateStr':	'06_01_1214'		'notation':	'arabic'		'response_buttons':	'CD'		'range_in_instr':	True		'interactive_setting':	False		'autopilot':	False		'exp_id':	'SNARC'}
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	1.66665512																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.5639446619																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.5942378172																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.3964462121																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.516865311																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4921688371																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.3794748434																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.6448393097																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.5045540659																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.638884256																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.4752137191																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.5920183035																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.5706575149																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.3923963478																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.3481279534																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.4466076506																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.5527239293																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.4621438194																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.5066820622																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4658489961																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.574820707																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.4851194217																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.4456736587																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.4889892446																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.4531934912																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.3943682511																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.3706382706																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.4309170997																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.3880894647																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.3759689524																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.357951547																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.3755348857																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.3693202472																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4119421814																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.3953099408																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.5636559968																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.5907396241																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.6344161482																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.4357666731																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.4347971861																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4874817713																		
zsuzsi	SNARC	arabic	CD	up	7	num_decimal	0.5041653302																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	3.1357063741																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.6683002972																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	1.9918498087																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.452489576																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.5213312806																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4259452178																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.3928907135																		
zsuzsi	SNARC	arabic	CD	up	2	lctrl	0.5317428956																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.5182346526																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.4977514059																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.5115829539																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.4340633353																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.6048098018																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.8771881883																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.5820232215																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.6056236235																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.4785613788																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.5783120577																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.3840673979																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.4520379755																		
zsuzsi	SNARC	arabic	CD	up	4	lctrl	0.3483875382																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.3813941455																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.5702704899																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.4439951248																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4935356127																		
zsuzsi	SNARC	arabic	CD	up	1	lctrl	0.3405358478																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.5827391109																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4987298737																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.408229307																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.5508118973																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.6446271944																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.4496623689																		
zsuzsi	SNARC	arabic	CD	up	6	lctrl	0.4038488679																		
zsuzsi	SNARC	arabic	CD	down	4	num_decimal	0.4801881668																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.3903098338																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.448762589																		
zsuzsi	SNARC	arabic	CD	up	8	lctrl	0.4954835675																		
zsuzsi	SNARC	arabic	CD	down	2	num_decimal	0.6174866894																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.3890628008																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.5548694592																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.4623388287																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.7275211153																		
zsuzsi	SNARC	arabic	CD	up	5	lctrl	0.6475664463																		
zsuzsi	SNARC	arabic	CD	down	1	num_decimal	0.5302606539																		
zsuzsi	SNARC	arabic	CD	down	6	num_decimal	0.4290837556																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.5234644087																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	0.5706759039																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.5398165373																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4647743066																		
zsuzsi	SNARC	arabic	CD	up	7	lctrl	0.4608104005																		
zsuzsi	SNARC	arabic	CD	down	3	num_decimal	0.4690016465																		
zsuzsi	SNARC	arabic	CD	up	3	lctrl	0.4706002095																		
zsuzsi	SNARC	arabic	CD	down	9	num_decimal	0.3663690209																		
zsuzsi	SNARC	arabic	CD	down	7	num_decimal	1.0814775375																		
zsuzsi	SNARC	arabic	CD	down	8	num_decimal	0.4416866594																		
zsuzsi	SNARC	arabic	CD	up	9	lctrl	0.5100117604																		
zsuzsi	SNARC	arabic	CD	down	5	num_decimal	0.4528231445																		
